query_id,n,c,pass@1,pass@5,pass@10,pass@15,pass@20,pass@30,pass@40,pass@50
query1,50.0,18.0,0.3600000000000001,0.9049557288225188,0.9937197728748812,0.9997486603489427,0.999995209068235,0.9999999999894758,1.0,1.0
query2,50.0,38.0,0.76,0.99962619645453,0.9999999935749403,1.0,1.0,1.0,1.0,1.0
query3,50.0,40.0,0.7999999999999999,0.9998810625082596,0.9999999999026506,1.0,1.0,1.0,1.0,1.0
Overall,,,0.64,0.9681543292617695,0.9979065887841574,0.9999162201163143,0.999998403022745,0.999999999996492,1.0,1.0
