query_id,n,c,pass@1,pass@5,pass@10,pass@15,pass@20,pass@30,pass@40,pass@50
query1,50.0,12.0,0.2400000000000001,0.7630963393683098,0.9539796578542226,0.99312640693413,0.9992875331665595,0.9999989623528662,1.0,1.0
query2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query3,50.0,12.0,0.2400000000000001,0.7630963393683098,0.9539796578542226,0.99312640693413,0.9992875331665595,0.9999989623528662,1.0,1.0
query4,50.0,30.0,0.6000000000000001,0.9926825124129207,0.9999820141163487,0.9999999931118729,0.9999999999999788,1.0,1.0,1.0
Overall,,,0.2700000000000001,0.629718797787385,0.7269853324561985,0.7465632017450332,0.7496437665832745,0.7499994811764331,0.75,0.75
