query_id,n,c,pass@1,pass@5,pass@10,pass@15,pass@20,pass@30,pass@40,pass@50
query1,50.0,21.0,0.42000000000000015,0.943950707017312,0.9980500907716365,0.9999655421446131,0.9999997874989943,1.0,1.0,1.0
query2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query3,50.0,9.0,0.18000000000000027,0.6463034982725746,0.8908616580035624,0.9718182684299329,0.9942895515455069,0.9999329617063903,0.9999999960086751,1.0
query4,50.0,28.0,0.5600000000000002,0.9875710321131228,0.9999370494072203,0.9999999242306028,0.9999999999950986,1.0,1.0,1.0
Overall,,,0.29000000000000015,0.6444563093507524,0.7222121995456048,0.7429459337012871,0.7485723347598999,0.7499832404265976,0.7499999990021687,0.75
